Device Name,IP Address,Latency (ms),Packet Loss (%),Timestamp
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:20:53
Google DNS,8.8.8.8,32.7811,0.0,2026-05-02 13:20:46
Local Machine,127.0.0.1,0.371933,0.0,2026-05-02 13:20:46
Router1,8.8.8.8,100.732,0.0,2026-05-02 13:20:43
Localhost,127.0.0.1,0.510693,0.0,2026-05-02 13:20:43
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:20:40
Cloudflare DNS,1.1.1.1,112.142,0.0,2026-05-02 13:20:23
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:20:19
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:20:12
Google DNS,8.8.8.8,30.9768,0.0,2026-05-02 13:20:05
Local Machine,127.0.0.1,0.392675,0.0,2026-05-02 13:20:05
Router1,8.8.8.8,34.3854,0.0,2026-05-02 13:20:02
Localhost,127.0.0.1,0.429153,0.0,2026-05-02 13:20:02
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:19:59
Cloudflare DNS,1.1.1.1,38.2957,0.0,2026-05-02 13:19:42
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:19:38
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:19:31
Google DNS,8.8.8.8,41.3618,0.0,2026-05-02 13:19:24
Local Machine,127.0.0.1,0.457287,0.0,2026-05-02 13:19:24
Router1,8.8.8.8,30.1375,0.0,2026-05-02 13:19:21
Localhost,127.0.0.1,0.519753,0.0,2026-05-02 13:19:21
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:19:18
Cloudflare DNS,1.1.1.1,67.9677,0.0,2026-05-02 13:19:00
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:18:57
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:18:50
Google DNS,8.8.8.8,49.943,0.0,2026-05-02 13:18:43
Local Machine,127.0.0.1,0.585318,0.0,2026-05-02 13:18:43
Router1,8.8.8.8,45.0418,0.0,2026-05-02 13:18:40
Localhost,127.0.0.1,0.493765,0.0,2026-05-02 13:18:40
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:18:36
Cloudflare DNS,1.1.1.1,35.2888,0.0,2026-05-02 13:18:19
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:18:16
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:18:09
Google DNS,8.8.8.8,53.2875,0.0,2026-05-02 13:18:02
Local Machine,127.0.0.1,0.555992,0.0,2026-05-02 13:18:02
Router1,8.8.8.8,153.09,0.0,2026-05-02 13:17:58
Localhost,127.0.0.1,1.03545,0.0,2026-05-02 13:17:58
Core Router 01,192.168.1.1,0.0,100.0,2026-05-02 13:17:55
Cloudflare DNS,1.1.1.1,46.3481,0.0,2026-05-02 13:17:38
My PC,172.20.10.5,0.0,100.0,2026-05-02 13:17:35
Home Router,172.20.10.1,0.0,100.0,2026-05-02 13:17:28
Local Machine,127.0.0.1,0.41604,0.0,2026-05-02 13:17:21
Google DNS,8.8.8.8,69.6738,0.0,2026-05-02 13:17:20
Router1,8.8.8.8,31.8446,0.0,2026-05-02 13:17:17
Localhost,127.0.0.1,0.552177,0.0,2026-05-02 13:17:17
